City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,narbonne,43.0833,2.8333,8.13,63,98,3.41,FR,1675813929
80,altamira,-3.2033,-52.2064,23.2,96,98,1.2,BR,1675813930
81,asau,46.4333,26.4,-5.49,98,100,1.63,RO,1675813932
82,dikson,73.5069,80.5464,-23.8,91,100,9.68,RU,1675813934
83,mar del plata,-38.0023,-57.5575,23.94,86,75,7.2,AR,1675813730
84,linay,8.5167,123.1333,25.58,86,100,5.63,PH,1675813934
85,ribeira grande,38.5167,-28.7,12.65,67,57,3.58,PT,1675813935
86,cape town,-33.9258,18.4232,21.32,73,0,9.77,ZA,1675813801
87,hilo,19.7297,-155.09,25.16,94,75,3.09,US,1675813936
88,qaanaaq,77.484,-69.3632,-31.31,65,77,2.55,GL,1675813938
89,bathsheba,13.2167,-59.5167,26.34,73,40,6.69,BB,1675813673
90,severo-kurilsk,50.6789,156.125,-4.51,58,46,4.12,RU,1675813942
91,anamur,36.0751,32.8369,5.13,48,40,4.99,TR,1675813943
92,palmares do sul,-30.2578,-50.5097,24.09,74,36,5.91,BR,1675813943
93,freeport,40.6576,-73.5832,5.55,79,20,6.69,US,1675813947
94,carnarvon,-24.8667,113.6333,26.13,62,0,8.33,AU,1675813669
95,altea,38.5989,-0.0514,10.44,82,100,5.61,ES,1675813951
96,vestmannaeyjar,63.4427,-20.2734,-0.08,61,100,14.83,IS,1675813958
97,klaksvik,62.2266,-6.589,8.51,83,100,25.02,FO,1675813960
98,hermanus,-34.4187,19.2345,20.45,81,42,5.38,ZA,1675813960
99,gat,31.61,34.7642,11.38,100,85,9.36,IL,1675813960
100,bengkulu,-3.8004,102.2655,23.79,80,92,2.35,ID,1675813961
101,lincoln,40.8,-96.667,10.95,43,0,2.06,US,1675813733
102,tari,12.4086,4.4914,24.02,13,100,4.72,NG,1675813964
103,canela,-29.3656,-50.8156,19.43,78,26,1.85,BR,1675813965
104,singaraja,-8.112,115.0882,26.09,84,100,2.16,ID,1675813965
105,komsomolskiy,40.4272,71.7189,0.4,80,9,3.09,UZ,1675813777
106,abha,18.2164,42.5053,12.14,71,0,2.57,SA,1675813728
107,atuona,-9.8,-139.0333,25.86,78,13,6.68,PF,1675813966
108,kenai,60.5544,-151.2583,-1.59,91,100,1.54,US,1675813967
109,makakilo city,21.3469,-158.0858,28.18,68,100,5.66,US,1675813967
110,sao joao del rei,-21.1356,-44.2617,19.6,94,83,0.85,BR,1675813968
111,tazmalt,36.3868,4.3989,8.92,67,100,1.11,DZ,1675813968
112,huai thalaeng,14.997,102.6475,27.37,66,48,1.39,TH,1675813968
113,bridlington,54.0831,-0.1919,6.05,88,83,4.38,GB,1675813969
114,butaritari,3.0707,172.7902,27.27,80,100,9.84,KI,1675813969
115,hithadhoo,-0.6,73.0833,27.22,71,59,4.04,MV,1675813775
116,mount gambier,-37.8333,140.7667,19.33,52,15,4.33,AU,1675813737
117,bumba,2.1833,22.4667,25.25,34,92,0.69,CD,1675813970
118,faanui,-16.4833,-151.75,27.18,74,31,5.57,PF,1675813970
119,airai,-8.9266,125.4092,19.32,83,93,1.11,TL,1675813971
120,palmer,42.1584,-72.3287,1.88,51,100,6.69,US,1675813725
121,karratha,-20.7377,116.8463,31.26,52,30,1.37,AU,1675813971
122,ponta do sol,32.6667,-17.1,15.95,67,17,2.62,PT,1675813972
123,kuminskiy,58.6667,66.5667,-24.55,100,97,1.45,RU,1675813972
124,challans,46.8436,-1.8749,2.11,82,6,4.95,FR,1675813972
125,leningradskiy,69.3833,178.4167,-31.43,96,100,2.43,RU,1675813973
126,raudeberg,61.9875,5.1352,6.37,75,51,13.91,NO,1675813973
127,luancheng,37.8792,114.6517,-5.91,54,78,2.25,CN,1675813974
128,flin flon,54.7682,-101.865,-4.09,74,20,3.6,CA,1675813933
129,kulhudhuffushi,6.6221,73.07,26.76,71,88,2.56,MV,1675813974
130,havelock,34.8791,-76.9013,13.98,68,20,3.09,US,1675813974
131,teshie,5.5836,-0.1072,28.31,83,20,3.6,GH,1675813975
132,vaini,-21.2,-175.2,26.09,100,75,4.63,TO,1675813975
133,college,64.8569,-147.8028,-11.22,78,75,0.0,US,1675813975
134,moscow,55.7522,37.6156,-6.25,97,68,2.26,RU,1675813475
135,riyadh,24.6877,46.7219,13.08,39,75,3.23,SA,1675813870
136,new norfolk,-42.7826,147.0587,16.62,42,8,0.69,AU,1675813976
137,isangel,-19.55,169.2667,29.06,89,100,1.03,VU,1675813746
138,bad kissingen,50.2,10.0833,-0.76,64,17,1.59,DE,1675813977
139,mahebourg,-20.4081,57.7,26.16,83,75,7.2,MU,1675813977
140,zhigansk,66.7697,123.3711,-46.0,99,97,2.66,RU,1675813977
141,cidreira,-30.1811,-50.2056,24.51,77,23,6.13,BR,1675813978
142,acari,-15.4311,-74.6158,25.26,78,38,2.66,PE,1675813978
143,sorong,-0.8833,131.25,26.06,85,100,3.62,ID,1675813978
144,avarua,-21.2078,-159.775,30.03,74,67,5.66,CK,1675813726
145,yershov,51.3513,48.2766,-15.47,96,28,4.88,RU,1675813979
146,san patricio,28.017,-97.5169,24.92,74,99,8.45,US,1675813979
147,algeciras,36.1333,-5.4505,11.82,76,20,6.69,ES,1675813979
148,aklavik,68.2191,-135.0107,-29.0,76,75,2.06,CA,1675813785
149,ratnagiri,16.9833,73.3,20.98,67,100,1.57,IN,1675813980
150,longyearbyen,78.2186,15.6401,-6.09,93,100,10.8,SJ,1675813980
151,kruisfontein,-34.0033,24.7314,19.38,80,100,2.19,ZA,1675813916
152,letlhakane,-21.4167,25.5833,25.12,44,87,2.96,BW,1675813981
153,ketchikan,55.3422,-131.6461,4.26,87,100,2.57,US,1675813982
154,sao jose da coroa grande,-8.8978,-35.1478,25.37,69,88,3.63,BR,1675813982
155,port shepstone,-30.7414,30.455,23.85,83,99,5.25,ZA,1675813451
156,antofagasta,-23.65,-70.4,21.6,84,89,2.85,CL,1675813692
157,vardo,70.3705,31.1107,-0.01,86,40,10.29,NO,1675813983
158,mombetsu,44.3525,143.3525,-5.36,77,81,2.19,JP,1675813984
159,dwarka,22.2394,68.9678,20.84,66,24,4.07,IN,1675813915
160,saldanha,-33.0117,17.9442,17.03,89,24,7.26,ZA,1675813760
161,umm lajj,25.0213,37.2685,16.05,57,96,4.85,SA,1675813987
162,sarangani,5.4033,125.4636,27.0,72,100,5.36,PH,1675813988
163,janauba,-15.8025,-43.3089,24.25,60,13,2.49,BR,1675813989
164,rochegda,62.8,43.25,-2.06,93,100,3.9,RU,1675813990
165,pevek,69.7008,170.3133,-29.94,94,100,1.62,RU,1675813992
166,pangnirtung,66.1451,-65.7125,-35.0,68,0,2.57,CA,1675813994
167,baykit,61.67,96.37,-15.49,98,100,0.72,RU,1675813738
168,cap malheureux,-19.9842,57.6142,24.7,81,45,1.79,MU,1675813317
169,porto nacional,-10.7081,-48.4172,24.0,82,82,1.08,BR,1675813738
170,meulaboh,4.1363,96.1285,23.77,83,100,1.17,ID,1675813747
171,lagoa,39.05,-27.9833,13.23,60,61,6.28,PT,1675813811
172,fairbanks,64.8378,-147.7164,-11.21,78,40,0.0,US,1675813996
173,bria,6.5423,21.9863,21.82,17,5,1.85,CF,1675813998
174,touros,-5.1989,-35.4608,26.53,67,75,6.9,BR,1675814001
175,batemans bay,-35.7167,150.1833,20.05,92,99,1.57,AU,1675814002
176,nome,64.5011,-165.4064,-18.96,77,0,1.54,US,1675813795
177,iqaluit,63.7506,-68.5145,-33.15,75,75,1.03,CA,1675814003
178,yulara,-25.2406,130.9889,32.1,23,0,3.35,AU,1675814003
179,shangrao,28.4532,117.9686,10.3,96,100,3.28,CN,1675814004
180,torbay,47.6666,-52.7314,-4.12,84,75,11.32,CA,1675814005
181,spring hill,28.4769,-82.5255,23.88,58,0,2.57,US,1675813873
182,victoria,22.2855,114.1577,18.03,88,91,5.81,HK,1675814006
183,takoradi,4.8845,-1.7554,25.88,88,13,1.83,GH,1675813801
184,sidney,-33.8679,151.2073,27.53,65,75,4.12,AU,1675813755
185,pokhara,28.2333,83.9833,10.9,58,82,2.98,NP,1675814007
186,bloomfield,40.8068,-74.1854,5.37,74,0,3.6,US,1675814008
187,tura,25.5198,90.2201,14.52,52,25,1.7,IN,1675813888
188,zapolyarnyy,69.4154,30.8136,0.6,79,51,10.8,RU,1675814009
189,mayo,38.8876,-76.5119,9.09,78,0,4.63,US,1675813738
190,port blair,11.6667,92.75,26.02,78,40,4.48,IN,1675814010
191,clifton,40.8584,-74.1638,5.25,75,0,2.06,US,1675814012
192,nabire,-3.3667,135.4833,25.1,86,99,1.14,ID,1675814015
193,narsaq,60.9167,-46.05,-19.88,66,0,3.24,GL,1675814017
194,staryy nadym,65.6118,72.6842,-22.71,95,87,4.65,RU,1675814018
195,kavieng,-2.5744,150.7967,27.43,79,100,4.54,PG,1675814018
196,geraldton,-28.7667,114.6,21.23,83,0,5.14,AU,1675814019
197,eureka,40.8021,-124.1637,15.67,73,46,2.23,US,1675813919
198,tessalit,20.1986,1.0114,23.17,15,98,1.98,ML,1675814019
199,waingapu,-9.6567,120.2641,27.0,79,99,3.65,ID,1675814020
200,east london,-33.0153,27.9116,21.69,86,100,5.63,ZA,1675813587
201,malanville,11.8685,3.3899,25.68,14,100,3.21,BJ,1675814025
202,cabo san lucas,22.8909,-109.9124,24.23,60,40,5.14,MX,1675814026
203,saskylakh,71.9167,114.0833,-34.15,99,99,0.71,RU,1675814027
204,fort portal,0.6617,30.2748,20.83,40,76,0.91,UG,1675814027
205,cotonou,6.3654,2.4183,27.99,83,40,5.66,BJ,1675813919
206,botou,38.0667,116.5667,-1.32,60,8,2.69,CN,1675814028
207,atambua,-9.1061,124.8925,25.87,78,64,0.98,ID,1675814028
